CVX,MSFT,SPX,NDX,WTI,SFFRNEWS,VIX,CO1
0.018031981370767735,-0.017295839131054723,-0.000629816185405453,-0.013546872210219402,0.011890125052823362,0.24220349624920498,0.01850246754799135,0.012831978815378241
0.006484734401041876,-0.03914412266979376,-0.019583272775802296,-0.03169850852215694,0.011108354990049111,-0.06621239099636296,0.15423515712403513,0.009950330853168092
0.008473246067327606,-0.00793327551116096,-0.0009641755290858112,-0.0004071390169611143,0.020469852106445544,-0.2732282681042469,-0.006100679826269165,0.014620323081036708
0.014257762972811196,0.0005096190707825135,-0.004058436737205577,-0.011044980263873284,-0.007072522534624205,-0.1325111213586788,-0.04431269663017613,-0.0029314788307234453
0.0006396418224002967,0.0007321227109972463,-0.0014421248375173315,0.0014253388393369452,-0.008528022154839329,0.01214507037729859,0.03354612249120359,-0.010822882669631982
0.022602511120195914,0.0022566557053825685,0.009118332112991406,0.014602966869351273,0.03750831656116241,-0.48633664676863403,-0.05237907082429589,0.03463497047006815
-0.0050137198641604045,0.010390934392855156,0.0028137340560308905,0.0038413589363928075,0.017332302553231392,-0.31223192979864883,-0.04385937473695304,0.011283450076386998
-0.004171099582218639,-0.04324425532679859,-0.014345962458906215,-0.02608240916576414,-0.006312232660650224,-0.3059288973993517,0.14207875508425982,-0.002364905914780629
0.016891236755192596,0.017561426929947208,0.0008195772127140056,0.007456183777054927,0.020490050346192577,-1.8685007894515215,-0.056724065572684584,0.018648285671048245
0.0,0.0,0.0,0.0,0.0,2.1493324203421142,0.0,0.004868445920499228
0.0032515318575212183,-0.0246402284047422,-0.018559054584436702,-0.026010514973884614,0.019025684666601983,-0.7327481818989041,0.17193253323798421,0.011839899216786852
-0.0036393241608259027,0.002244299433721124,-0.009736769104655738,-0.010768612849785671,0.01775091564942653,-0.3815741053239974,0.04546237407675741,0.010571283441505661
-0.0035747628991208724,-0.005719685637616303,-0.011098789654240207,-0.013473006307609598,-0.0006902105416074931,0.7172198906677758,0.07041743283734721,-0.0006786562866516955
-0.012061549733819546,-0.018640835594090695,-0.01909598635863535,-0.027870128990942624,-0.02046107187134017,-1.14848445912043,0.11990834278241122,-0.005559667126040006
0.0021252320171888835,0.0011478731847818272,0.002767918007616829,0.004917796920937326,-0.021728370413188366,,0.03574848744253209,-0.018604119488066537
0.041658254287365575,-0.026948250422141204,-0.012246661962160472,-0.025156689579778985,0.027116693160878388,0.4867114194979943,0.041276740605906914,0.022125049924258195
