Series,Moving_Average
61.05525277,
46.92906207,
93.53904287,
67.5783199,67.2754194025
23.51311062,57.889883864999995
46.62945558,57.8149822425
98.24147423,58.9905900825
93.89517082,65.5698028125
56.59049538,73.83914900250001
85.178253,83.4763483575
54.04724094,72.427790035
98.25967062,73.51891498500001
98.61006726,84.023807955
57.7920881,77.17726673
33.78178444,72.110902605
34.66138571,56.2113313775
26.87074233,38.276500145
87.14931075,45.615805807499996
35.03307792,45.9286291775
45.49470484,48.63695896
79.18353487,61.715157094999995
12.63917782,43.0876238625
63.76547006,50.270721897499996
14.15934039,42.436880785
77.05304551,41.904258444999996
65.0972733,55.018782315
22.78944128,44.77477512
86.89184914,62.9579023075
26.15311688,50.232920150000005
84.02516909,54.96489409750001
28.95491871,56.506263455
65.89359135,51.2566990075
86.70349311,66.394293065
67.25977715,62.20294507999999
