Series,Moving_Average
52.48357076505616,
52.32526806947194,
59.19001083218878,54.66628322223895
66.34179338143281,59.285690761031184
60.09926278158197,61.877022331734516
62.34867590178899,62.92991068826792
73.32029738918587,65.25607869085228
70.78542764007247,68.81813364368244
65.7231478683669,69.94295763254173
71.49926880066216,69.33594810303384
66.79097609897735,68.00446425600214
66.73466291349033,68.34163593770994
69.90492594587006,67.81018831944591
58.49313233391338,65.04424039775792
58.59891515374975,62.332324477844395
63.45067788655159,60.18090845807157
60.191399089609966,60.746997376637104
65.85708324748923,63.16638674121693
58.893396695989736,61.64729301102964
55.71279930904886,60.15442641750928
69.70438902008596,61.43686167504152
61.16739713633714,62.194861821823984
62.91669207637406,64.59615941093237
56.13030452146384,60.07146457805835
61.61297818974156,60.219991595859824
66.3733256166146,61.372202775939996
61.93127226563424,63.30585869066346
71.78108978126652,66.69522922117179
69.41553501476191,67.70929902055423
73.7149022356543,71.63717567722757
75.08703749633268,72.7391582489163
90.3689462728034,79.72362866826346
84.06041552314177,83.17213309742596
81.78629099426604,85.40521759673707
93.98233361141436,86.60968004294072
86.33538508067244,87.36800322878427
95.76570005918272,92.02780625042317
86.86487104665102,89.65531872883541
91.58629471818448,91.4056219413394
100.37516898214616,92.94211158232723
103.84022319877282,98.60056229970115
101.3654422543359,101.86027814508496
99.92116605369684,101.70894383560186
98.65624999201964,99.98095276668413
92.15789127735016,96.91176910768888
95.13233150070693,95.31549092335892
95.47612249627711,94.25544842477807
102.0592190018356,97.55589099960655
97.51450867358696,98.34995005723322
86.1133738417981,95.22903383907355
95.86688252617432,93.1649216805198
91.89349831005802,91.29125155934348
90.31978020394811,92.69338701339349
97.00702790999058,93.07343547466557
99.73782572873608,95.6882112808916
100.27862572658744,99.00782645510469
92.86955832147213,97.62866992559854
97.34940400319516,96.83252935041826
102.73466124518188,97.65120785661638
108.44430518077586,102.84279014305098
103.90418009184752,105.02771550593509
108.28036881063568,106.87628469441968
106.68352271910562,106.28935720719626
109.25741783743236,108.07376978905789
122.25917086293563,112.73337047315788
127.79143845543196,119.76934238526665
123.24613140453556,124.4322469076344
130.93753549123963,127.32503511706905
129.7064638575962,127.96337691779047
126.27643675790472,128.97347870224687
132.51395854119812,129.498953052233
139.19537651719176,132.66192393876486
131.72616307918426,134.47849937919136
139.75530848438848,136.89228269358816
118.52685342184388,130.00277499513885
135.14882330002186,131.14366173541808
130.6734510523041,128.11637592472326
127.80092475944755,131.20773303725784
128.75076127613957,129.07504569596372
117.37027958478306,124.64065520679004
125.3272027458214,123.81608120224801
127.50681565136811,123.40143266065752
132.65439736164652,128.49613858627868
122.52487890141698,127.56203063814387
121.27982577627324,125.48636734644559
123.40703636002048,122.4039136792369
131.49076745388496,125.39254319672624
129.9603500244367,128.28605127944738
127.45955940042056,129.63689229291407
134.8235987741202,130.74783606632582
135.20236674701994,132.49517497385355
142.27177650561862,137.43258067558625
136.81250891273146,138.09555072179
141.68470283553637,140.25632941796215
144.3877823658726,140.96166470471348
141.99916264867417,142.69054928336104
153.6292061793718,146.67205039797287
156.07510400367806,150.56782427724133
157.14044317729784,155.61491778678257
157.95651684040055,157.05735467379216
